time,input,GL,EXP20
38.75,1,1.02163,1.0003
38.8,1,1.02141,1.00029
38.85,1,1.02119,1.00029
38.9,1,1.02097,1.00028
38.95,1,1.02076,1.00028
39,1,1.02055,1.00027
39.05,1,1.02033,1.00027
39.1,1,1.02012,1.00027
39.15,1,1.01992,1.00026
39.2,1,1.01971,1.00026
39.25,1,1.01951,1.00026
39.3,1,1.01931,1.00025
39.35,1,1.01911,1.00025
39.4,1,1.01891,1.00025
39.45,1,1.01871,1.00024
39.5,1,1.01851,1.00024
39.55,1,1.01832,1.00024
39.6,1,1.01812,1.00024
39.65,1,1.01793,1.00023
39.7,1,1.01774,1.00023
39.75,1,1.01755,1.00023
39.8,1,1.01736,1.00023
39.85,1,1.01717,1.00023
39.9,1,1.01698,1.00022
39.95,1,1.0168,1.00022
40,1,1.01661,1.00022
40.05,1,1.01643,1.00022
40.1,1,1.01624,1.00022
40.15,1,1.01606,1.00022
40.2,1,1.01588,1.00022
40.25,1,1.01569,1.00021
40.3,1,1.01551,1.00021
40.35,1,1.01533,1.00021
40.4,1,1.01515,1.00021
40.45,1,1.01497,1.00021
40.5,1,1.01479,1.00021
40.55,1,1.01461,1.00021
40.6,1,1.01443,1.0002
40.65,1,1.01425,1.0002
40.7,1,1.01407,1.0002
40.75,1,1.01389,1.0002
40.8,1,1.01371,1.0002
40.85,1,1.01353,1.0002
40.9,1,1.01335,1.0002
40.95,1,1.01318,1.0002
41,1,1.013,1.0002
41.05,1,1.01282,1.00019
41.1,1,1.01264,1.00019
41.15,1,1.01246,1.00019
41.2,1,1.01228,1.00019
41.25,1,1.01211,1.00019
41.3,1,1.01193,1.00019
41.35,1,1.01175,1.00019
41.4,1,1.01157,1.00019
41.45,1,1.01139,1.00019
41.5,1,1.01121,1.00018
41.55,1,1.01103,1.00018
41.6,1,1.01085,1.00018
41.65,1,1.01068,1.00018
41.7,1,1.0105,1.00018
41.75,1,1.01032,1.00018
41.8,1,1.01014,1.00018
41.85,1,1.00996,1.00018
41.9,0,0.0297241,0.0201234
41.95,0,0.0290262,0.019605
42,0,0.0267727,0.0189926
42.05,0,0.0240507,0.01833
42.1,0,0.0210126,0.0176338
42.15,0,0.0177612,0.0169153
42.2,0,0.0143648,0.0161828
42.25,0,0.0108705,0.0154428
42.3,0,0.00731315,0.0147004
42.35,0,0.00371938,0.0139597
42.4,0,0.000110755,0.0132242
42.45,0,-0.00349498,0.0124967
42.5,0,-0.00708296,0.0117798
42.55,0,-0.0106406,0.0110753
42.6,0,-0.0141573,0.0103851
42.65,0,-0.0176238,0.00971067
42.7,0,-0.0210327,0.00905312
42.75,0,-0.0243771,0.00841347
42.8,0,-0.0276518,0.00779256
42.85,0,-0.030852,0.00719103
42.9,0,-0.0339738,0.00660939
42.95,0,-0.0370141,0.00604802
43,0,-0.0399704,0.00550718
43.05,0,-0.0428407,0.00498703
43.1,0,-0.0456234,0.00448764
43.15,0,-0.0483175,0.00400901
43.2,0,-0.0509222,0.00355103
43.25,0,-0.0534374,0.00311357
43.3,0,-0.0558629,0.00269642
43.35,0,-0.058199,0.0022993
43.4,0,-0.0604464,0.00192193
43.45,0,-0.0626057,0.00156394
43.5,0,-0.064678,0.00122496
43.55,0,-0.0666643,0.000904584
43.6,0,-0.0685661,0.000602364
43.65,0,-0.0703849,0.000317844
43.7,0,-0.0721221,5.05448e-005
43.75,0,-0.0737796,-0.000200028
43.8,0,-0.0753591,-0.000434382
43.85,0,-0.0768625,-0.000653033
43.9,0,-0.0782919,-0.000856506
43.95,0,-0.0796491,-0.00104533
44,0,-0.0809364,-0.00122003
44.05,0,-0.0821557,-0.00138115
44.1,0,-0.0833092,-0.00152922
44.15,0,-0.0843992,-0.00166475
44.2,0,-0.0854276,-0.00178829
44.25,0,-0.0863968,-0.00190035
44.3,0,-0.0873089,-0.00200144
44.35,0,-0.088166,-0.00209207
44.4,0,-0.0889703,-0.00217274
44.45,0,-0.089724,-0.00224393
44.5,0,-0.090429,-0.00230613
44.55,0,-0.0910876,-0.0023598
44.6,0,-0.0917017,-0.0024054
44.65,0,-0.0922734,-0.00244337
44.7,0,-0.0928047,-0.00247415
44.75,0,-0.0932975,-0.00249816
44.8,0,-0.0937537,-0.00251581
44.85,0,-0.0941751,-0.00252749
44.9,0,-0.0945637,-0.00253358
44.95,0,-0.0949211,-0.00253446
45,0,-0.095249,-0.00253048
45.05,0,-0.0955493,-0.00252199
