time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
1.2600,-0.4954,-2.7545,-2.7185,-2.7386,-2.5970,-2.5772,-2.9072,-3.0501,-2.9335,-2.9028
1.2700,-0.5623,-2.7645,-2.7725,-2.7996,-2.6457,-2.6173,-2.9681,-3.1153,-3.0021,-2.9666
1.2800,-0.6258,-2.8366,-2.8094,-2.8438,-2.6695,-2.6411,-3.0107,-3.1615,-3.0521,-3.0123
1.2900,-0.6853,-2.8125,-2.8289,-2.8710,-2.6841,-2.6485,-3.0348,-3.1881,-3.0834,-3.0394
1.3000,-0.7406,-2.8494,-2.8310,-2.8810,-2.6750,-2.6394,-3.0403,-3.1952,-3.0958,-3.0479
1.3100,-0.7913,-2.7906,-2.8157,-2.8736,-2.6567,-2.6138,-3.0270,-3.1826,-3.0893,-3.0377
1.3200,-0.8370,-2.7924,-2.7829,-2.8490,-2.6149,-2.5720,-2.9951,-3.1505,-3.0639,-3.0089
1.3300,-0.8775,-2.6995,-2.7330,-2.8073,-2.5623,-2.5142,-2.9447,-3.0989,-3.0198,-2.9617
1.3400,-0.9126,-2.6671,-2.6662,-2.7487,-2.4888,-2.4408,-2.8763,-3.0283,-2.9572,-2.8963
1.3500,-0.9420,-2.5413,-2.5829,-2.6736,-2.4052,-2.3521,-2.7901,-2.9391,-2.8764,-2.8131
1.3600,-0.9655,-2.4766,-2.4838,-2.5825,-2.3019,-2.2488,-2.6868,-2.8318,-2.7781,-2.7127
1.3700,-0.9830,-2.3201,-2.3693,-2.4759,-2.1874,-2.1315,-2.5668,-2.7071,-2.6628,-2.5956
1.3800,-0.9944,-2.2255,-2.2402,-2.3544,-2.0569,-2.0010,-2.4311,-2.5658,-2.5312,-2.4627
1.3900,-0.9996,-2.0413,-2.0973,-2.2189,-1.9163,-1.8580,-2.2804,-2.4087,-2.3841,-2.3147
1.4000,-0.9986,-1.9201,-1.9414,-2.0701,-1.7617,-1.7034,-2.1158,-2.2369,-2.2225,-2.1525
1.4100,-0.9914,-1.7118,-1.7737,-1.9091,-1.5966,-1.5382,-1.9381,-2.0513,-2.0473,-1.9772
1.4200,-0.9780,-1.5680,-1.5950,-1.7367,-1.4218,-1.3635,-1.7486,-1.8532,-1.8597,-1.7899
1.4300,-0.9585,-1.3398,-1.4065,-1.5540,-1.2381,-1.1802,-1.5484,-1.6437,-1.6608,-1.5914
1.4400,-0.9331,-1.1779,-1.2094,-1.3623,-1.0475,-0.9897,-1.3387,-1.4243,-1.4518,-1.3833
1.4500,-0.9018,-0.9345,-1.0049,-1.1626,-0.8481,-0.7929,-1.1209,-1.1960,-1.2340,-1.1669
1.4600,-0.8649,-0.7595,-0.7943,-0.9562,-0.6464,-0.5912,-0.8963,-0.9605,-1.0088,-0.9434
1.4700,-0.8227,-0.5061,-0.5789,-0.7444,-0.4377,-0.3859,-0.6663,-0.7192,-0.7777,-0.7143
1.4800,-0.7753,-0.3232,-0.3599,-0.5285,-0.2300,-0.1781,-0.4323,-0.4737,-0.5419,-0.4810
1.4900,-0.7231,-0.0651,-0.1389,-0.3098,-0.0159,0.0307,-0.1958,-0.2254,-0.3030,-0.2449
1.5000,-0.6664,0.1202,0.0829,-0.0897,0.1928,0.2394,0.0417,0.0241,-0.0625,-0.0076
1.5100,-0.6056,0.3774,0.3040,0.1304,0.4058,0.4466,0.2788,0.2733,0.1781,0.2296
1.5200,-0.5409,0.5597,0.5231,0.3492,0.6102,0.6510,0.5140,0.5206,0.4174,0.4652
1.5300,-0.4730,0.8106,0.7389,0.5653,0.8177,0.8514,0.7458,0.7645,0.6539,0.6976
1.5400,-0.4020,0.9843,0.9499,0.7774,1.0128,1.0464,0.9729,1.0034,0.8860,0.9254
1.5500,-0.3286,1.2236,1.1549,0.9842,1.2091,1.2350,1.1938,1.2359,1.1124,1.1473
1.5600,-0.2531,1.3836,1.3526,1.1844,1.3899,1.4158,1.4071,1.4605,1.3316,1.3618
1.5700,-0.1761,1.6062,1.5418,1.3767,1.5704,1.5879,1.6115,1.6759,1.5423,1.5676
1.5800,-0.0979,1.7475,1.7213,1.5600,1.7326,1.7500,1.8056,1.8806,1.7431,1.7635
