Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.071,0.2,0.516012,0.0385719,-0.0329553,0.555029,-0.277338,0.00561658,0.194522,0.499093
0.0715,0.2,0.515727,0.0388482,-0.0330904,0.552379,-0.270269,0.0057578,0.194383,0.499093
0.072,0.2,0.515435,0.0391232,-0.033222,0.549733,-0.263182,0.00590124,0.194242,0.498024
0.0725,0.2,0.515138,0.0393969,-0.03335,0.547092,-0.256081,0.00604691,0.194099,0.498024
0.073,0.2,0.514834,0.0396693,-0.0334745,0.544457,-0.248966,0.00619482,0.193953,0.498024
0.0735,0.2,0.514524,0.0399404,-0.0335954,0.541828,-0.241838,0.00634498,0.193805,0.496904
0.074,0.2,0.514208,0.0402102,-0.0337128,0.539207,-0.234699,0.00649739,0.193655,0.496904
0.0745,0.2,0.513886,0.0404786,-0.0338266,0.536594,-0.227551,0.00665207,0.193503,0.496904
0.075,0.2,0.513558,0.0407458,-0.0339368,0.53399,-0.220395,0.00680903,0.193348,0.495732
0.0755,0.2,0.513223,0.0410116,-0.0340434,0.531395,-0.213231,0.00696827,0.193191,0.495732
0.076,0.2,0.512882,0.0412762,-0.0341464,0.528812,-0.206062,0.0071298,0.193032,0.495732
0.0765,0.2,0.512535,0.0415395,-0.0342458,0.52624,-0.198889,0.00729363,0.19287,0.494507
0.077,0.2,0.512181,0.0418015,-0.0343417,0.523679,-0.191712,0.00745977,0.192706,0.494507
0.0775,0.2,0.511821,0.0420622,-0.034434,0.521132,-0.184533,0.00762823,0.19254,0.494507
0.078,0.2,0.511455,0.0423216,-0.0345226,0.518598,-0.177354,0.00779901,0.192372,0.49323
0.0785,0.2,0.511082,0.0425798,-0.0346077,0.516079,-0.170175,0.00797211,0.192201,0.49323
0.079,0.2,0.510703,0.0428368,-0.0346892,0.513574,-0.162998,0.00814755,0.192028,0.49323
0.0795,0.2,0.510317,0.0430925,-0.0347671,0.511085,-0.155824,0.00832534,0.191852,0.491899
0.08,0.2,0.509926,0.0433469,-0.0348415,0.508612,-0.148654,0.00850547,0.191675,0.491899
0.0805,0.2,0.509527,0.0436002,-0.0349122,0.506156,-0.141489,0.00868795,0.191495,0.491899
0.081,0.2,0.509122,0.0438522,-0.0349794,0.503717,-0.13433,0.0088728,0.191312,0.490513
0.0815,0.2,0.508711,0.044103,-0.035043,0.501297,-0.127178,0.00906,0.191127,0.490513
0.082,0.2,0.508294,0.0443526,-0.035103,0.498894,-0.120036,0.00924958,0.19094,0.490513
0.0825,0.2,0.507869,0.044601,-0.0351594,0.496511,-0.112902,0.00944153,0.19075,0.489074
0.083,0.2,0.507439,0.0448482,-0.0352123,0.494147,-0.105779,0.00963587,0.190558,0.489074
0.0835,0.2,0.507002,0.0450942,-0.0352617,0.491804,-0.0986683,0.00983258,0.190364,0.489074
0.084,0.2,0.506558,0.0453391,-0.0353074,0.489481,-0.0915698,0.0100317,0.190167,0.487579
0.0845,0.2,0.506108,0.0455829,-0.0353497,0.487179,-0.084485,0.0102332,0.189968,0.487579
0.085,0.2,0.505651,0.0458254,-0.0353884,0.484899,-0.0774149,0.0104371,0.189767,0.487579
0.0855,0.2,0.505188,0.0460669,-0.0354236,0.482641,-0.0703605,0.0106433,0.189563,0.48603
0.086,0.2,0.504718,0.0463073,-0.0354552,0.480405,-0.0633226,0.010852,0.189357,0.48603
0.0865,0.2,0.504242,0.0465465,-0.0354834,0.478192,-0.0563024,0.0110631,0.189148,0.48603
0.087,0.2,0.503759,0.0467846,-0.035508,0.476003,-0.0493006,0.0112766,0.188937,0.484425
0.0875,0.2,0.503269,0.0470217,-0.0355292,0.473837,-0.0423182,0.0114925,0.188723,0.484425
0.088,0.2,0.502773,0.0472577,-0.0355469,0.471696,-0.0353561,0.0117108,0.188507,0.484425
0.0885,0.2,0.502271,0.0474926,-0.0355611,0.469579,-0.0284152,0.0119315,0.188289,0.482764
0.089,0.2,0.501761,0.0477265,-0.0355718,0.467486,-0.0214964,0.0121547,0.188068,0.482764
0.0895,0.2,0.501246,0.0479593,-0.0355791,0.465419,-0.0146006,0.0123802,0.187845,0.482764
0.09,0.2,0.500723,0.0481912,-0.035583,0.463378,-0.00772847,0.0126082,0.18762,0.481048
0.0905,0.2,0.500194,0.048422,-0.0355834,0.461362,-0.000880989,0.0128386,0.187392,0.481048
0.091,0.2,0.499659,0.0486518,-0.0355804,0.459373,0.00594107,0.0130714,0.187161,0.481048
0.0915,0.2,0.499117,0.0488807,-0.0355741,0.45741,0.0127369,0.0133066,0.186929,0.479277
0.092,0.2,0.498568,0.0491085,-0.0355643,0.455474,0.0195057,0.0135442,0.186693,0.479277
0.0925,0.2,0.498013,0.0493354,-0.0355512,0.453565,0.0262467,0.0137842,0.186456,0.479277
0.093,0.2,0.497451,0.0495614,-0.0355347,0.451683,0.0329592,0.0140267,0.186216,0.477449
0.0935,0.2,0.496883,0.0497865,-0.0355149,0.449829,0.0396424,0.0142716,0.185973,0.477449
0.094,0.2,0.496308,0.0500106,-0.0354918,0.448002,0.0462955,0.0145188,0.185728,0.477449
0.0945,0.2,0.495726,0.0502338,-0.0354653,0.446204,0.0529179,0.0147685,0.185481,0.475566
0.095,0.2,0.495138,0.0504562,-0.0354355,0.444434,0.0595088,0.0150206,0.185231,0.475566
0.0955,0.2,0.494544,0.0506777,-0.0354025,0.442692,0.0660676,0.0152752,0.184979,0.475566
0.096,0.2,0.493942,0.0508983,-0.0353662,0.440979,0.0725935,0.0155321,0.184725,0.473627
0.0965,0.2,0.493335,0.0511181,-0.0353267,0.439295,0.0790859,0.0157914,0.184468,0.473627
0.097,0.2,0.49272,0.051337,-0.0352839,0.437639,0.0855441,0.0160531,0.184209,0.473627
0.0975,0.2,0.4921,0.0515551,-0.0352379,0.436013,0.0919675,0.0163172,0.183947,0.471633
0.098,0.2,0.491472,0.0517725,-0.0351887,0.434417,0.0983554,0.0165838,0.183683,0.471633
0.0985,0.2,0.490838,0.051989,-0.0351364,0.43285,0.104707,0.0168527,0.183416,0.471633
0.099,0.2,0.490198,0.0522048,-0.0350809,0.431312,0.111023,0.017124,0.183147,0.469583
0.0995,0.2,0.489551,0.0524198,-0.0350222,0.429804,0.1173,0.0173976,0.182876,0.469583
0.1,0.2,0.488898,0.0526341,-0.0349604,0.428326,0.123541,0.0176737,0.182602,0.469583
0.1005,0.2,0.488238,0.0528477,-0.0348956,0.426878,0.129742,0.0179521,0.182326,0.467478
0.101,0.2,0.487572,0.0530606,-0.0348276,0.42546,0.135905,0.0182329,0.182048,0.467478
0.1015,0.2,0.486899,0.0532727,-0.0347566,0.424073,0.142028,0.0185161,0.181767,0.467478
0.102,0.2,0.48622,0.0534842,-0.0346825,0.422715,0.148111,0.0188017,0.181484,0.465319
