time,input,GL,EXP20
27.5,0,0.0220322,0.0177408
27.55,0,0.021873,0.0176181
27.6,0,0.0217167,0.0174969
27.65,0,0.0215632,0.0173773
27.7,0,0.0214124,0.0172592
27.75,0,0.0212644,0.0171426
27.8,0,0.021119,0.0170275
27.85,0,0.0209762,0.0169137
27.9,0,0.0208359,0.0168013
27.95,0,0.020698,0.0166904
28,0,0.0205626,0.0165807
28.05,0,0.0204296,0.0164724
28.1,0,0.0202988,0.0163654
28.15,0,0.0201703,0.0162596
28.2,0,0.0200441,0.0161551
28.25,0,0.01992,0.0160519
28.3,0,0.0197981,0.0159498
28.35,0,0.0196782,0.015849
28.4,0,0.0195604,0.0157493
28.45,0,0.0194446,0.0156507
28.5,0,0.0193308,0.0155533
28.55,0,0.0192189,0.015457
28.6,0,0.0191089,0.0153618
28.65,0,0.0190008,0.0152677
28.7,0,0.0188946,0.0151746
28.75,0,0.0187901,0.0150826
28.8,0,0.0186874,0.0149916
28.85,0,0.0185865,0.0149016
28.9,0,0.0184873,0.0148126
28.95,0,0.0183898,0.0147246
29,0,0.0182939,0.0146376
29.05,0,0.0181996,0.0145515
29.1,0,0.018107,0.0144663
29.15,0,0.0180159,0.014382
29.2,0,0.0179265,0.0142987
29.25,0,0.0178385,0.0142162
29.3,0,0.017752,0.0141346
29.35,0,0.017667,0.0140539
29.4,0,0.0175835,0.0139741
29.45,0,0.0175015,0.013895
29.5,0,0.0174208,0.0138168
29.55,0,0.0173415,0.0137394
29.6,0,0.0172637,0.0136629
29.65,0,0.0171871,0.0135871
29.7,0,0.017112,0.013512
29.75,0,0.0170381,0.0134378
29.8,0,0.0169655,0.0133643
29.85,0,0.0168942,0.0132915
29.9,0,0.0168242,0.0132195
29.95,0,0.0167554,0.0131482
30,0,0.0166879,0.0130777
30.05,0,0.0166216,0.0130078
30.1,0,0.0165564,0.0129386
30.15,0,0.0164925,0.0128701
30.2,0,0.0164297,0.0128023
30.25,0,0.016368,0.0127352
30.3,0,0.0163075,0.0126687
30.35,0,0.0162481,0.0126028
30.4,0,0.0161898,0.0125376
30.45,0,0.0161327,0.0124731
30.5,0,0.0160765,0.0124091
30.55,0,0.0160215,0.0123458
30.6,0,0.0159675,0.012283
30.65,0,0.0159145,0.0122209
30.7,0,0.0158626,0.0121594
30.75,0,0.0158117,0.0120984
30.8,0,0.0157617,0.012038
30.85,0,0.0157128,0.0119782
30.9,0,0.0156648,0.0119189
30.95,0,0.0156178,0.0118602
31,0,0.0155718,0.0118021
31.05,0,0.0155267,0.0117445
31.1,0,0.0154825,0.0116874
31.15,0,0.0154392,0.0116308
31.2,0,0.0153969,0.0115748
